Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
278,Medicham,0.00531,2451.0,0.122,1845.0,0.116
279,Altaria,0.00528,3643.0,0.181,2712.0,0.171
280,Hitmontop,0.0052,6204.0,0.309,4887.0,0.308
281,Houndstone,0.00515,4033.0,0.201,3118.0,0.197
282,Seviper,0.00515,1408.0,0.07,1173.0,0.074
283,Floatzel,0.00491,3628.0,0.18,2782.0,0.175
284,Typhlosion,0.00489,4155.0,0.207,2957.0,0.186
285,Decidueye,0.00486,3615.0,0.18,2729.0,0.172
286,Orthworm,0.00484,5111.0,0.254,4102.0,0.259
287,Heracross,0.00482,6734.0,0.335,4754.0,0.3
288,Wugtrio,0.00481,467.0,0.023,335.0,0.021
289,Dusclops,0.0047,4320.0,0.215,3465.0,0.218
290,Golem,0.00452,1889.0,0.094,1630.0,0.103
291,Probopass,0.00443,1593.0,0.079,1216.0,0.077
292,Terrakion,0.00439,1325.0,0.066,966.0,0.061
293,Golem-Alola,0.00437,2864.0,0.142,2319.0,0.146
294,Electivire,0.00415,5938.0,0.295,4352.0,0.274
295,Tauros-Paldea-Combat,0.00401,366.0,0.018,277.0,0.017
296,Servine,0.00397,65.0,0.003,39.0,0.002
297,Snivy,0.00397,33.0,0.002,25.0,0.002
298,Mabosstiff,0.00392,1281.0,0.064,965.0,0.061
299,Kilowattrel,0.00389,7731.0,0.384,6036.0,0.38
300,Delphox,0.00373,4231.0,0.21,3157.0,0.199
301,Gligar,0.00332,417.0,0.021,353.0,0.022
302,Honchkrow,0.00327,3393.0,0.169,2458.0,0.155
303,Indeedee-F,0.00325,3316.0,0.165,2638.0,0.166
304,Morpeko,0.00314,2428.0,0.121,1806.0,0.114
305,Sceptile,0.00311,7271.0,0.362,5222.0,0.329
306,Froslass,0.00309,5287.0,0.263,4401.0,0.277
307,Copperajah,0.00302,1260.0,0.063,970.0,0.061
308,Toedscruel,0.00295,2760.0,0.137,2183.0,0.138
309,Spidops,0.00293,2670.0,0.133,2427.0,0.153
310,Regice,0.00283,3589.0,0.178,2654.0,0.167
311,Rotom-Mow,0.0027,1905.0,0.095,1514.0,0.095
312,Tauros,0.00259,1166.0,0.058,867.0,0.055
313,Registeel,0.0025,3102.0,0.154,2484.0,0.157
